View_pages_cid,View_pages_page,View_pages_from,View_pages_part,View_pages_duration,View_pages_vid,View_pages_weblink,View_pages_dimension_width,View_pages_dimension_height,View_pages_dimension_rotate,aid
1491604,1,vupload,,366,,,640,360,0,1030511
1491493,1,vupload,,253,,,640,360,0,1030516
1491624,1,vupload,,83,,,512,288,0,1030526
1491626,1,vupload,,67,,,638,360,0,1030528
1491631,1,vupload,上,1200,,,384,288,0,1030533
1491632,2,vupload,下,1107,,,384,288,0,1030533
1491635,1,vupload,,136,,,480,360,0,1030536
1491633,1,vupload,,559,,,640,360,0,1030534
1491634,1,vupload,,312,,,640,360,0,1030535
2086421,1,vupload,,977,,,640,360,0,1030537
1491646,1,vupload,,362,,,638,360,0,1030543
1491645,1,vupload,,2556,,,480,360,0,1030542
1491648,1,vupload,,212,,,512,288,0,1030544
1491650,1,vupload,,0,,,448,336,0,1030546
1491665,1,vupload,,1418,,,640,360,0,1030551
1491660,1,vupload,,1115,,,480,360,0,1030555
1491663,1,vupload,,360,,,512,288,0,1030558
1491662,1,vupload,,638,,,640,360,0,1030557
1491658,1,vupload,,211,,,640,360,0,1030554
1491661,1,vupload,,307,,,864,486,0,1030556
